*****************************************************,,,,,,,,,,,,,,,,,,,,,
Date;04/27/2022 11:38:10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
System: POSIX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
System;EL (System Event Load) [Min] [Events/s];EL (System Event Load) [Max] [Events/s];EL (System Event Load) [Avg] [Events/s];EL (System Event Load) [Sample Count],,,,,,,,,,,,,,,,,,,,,
POSIX;117540;210580;136434;315,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
System Memory;Data Memory [Min] [B];Data Memory [Max] [B];Data Memory [Avg] [B];Data Memory [Sample Count];Code Memory [Min] [B];Code Memory [Max] [B];Code Memory [Avg] [B];Code Memory [Sample Count];Heap Memory [Min] [B];Heap Memory [Max] [B];Heap Memory [Avg] [B];Heap Memory [Sample Count];Stack Memory [Min] [B];Stack Memory [Max] [B];Stack Memory [Avg] [B];Stack Memory [Sample Count],,,,,,,,,,,,,,,,,,,,,
    POSIX;63324160;63324160;63324160;3;194049060;194049060;194049060;3;31662080;31662080;31662080;3;94875648;94875648;94875648;3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CPUs;BSF_CPU (BSF CPU Load) [Min] [%];BSF_CPU (BSF CPU Load) [Max] [%];BSF_CPU (BSF CPU Load) [Avg] [%];BSF_CPU (BSF CPU Load) [Sample Count],,,,,,,,,,,,,,,,,,,,,
CPU: 0;55,518;87,9532;63,9887;271,,,,,,,,,,,,,,,,,,
CPU: 1;71,574;95,076;81,2565;315,,,,,,,,,,,,,,,,,,
CPU: 2;47,6564;86,8184;56,7972;301,,,,,,,,,,,,,,,,,,
CPU: 3;18,4428;77,6912;32,6277;311,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
